ds,yhat,yhat_lower,yhat_upper
2018-03-30,2735.3499602903207,33.80032328615343,5160.500593840867
2018-03-31,2305.2884148294756,-273.78381537219207,5081.698588150608
2018-04-01,2428.467136663946,-217.66924906249187,5214.745795146831
2018-04-02,2592.8477570306227,23.128681858005933,5340.7178261662575
2018-04-03,1977.0104729877291,-670.7717061387104,4800.883023198044
2018-04-04,1061.4735361418336,-1672.8247644145385,3924.494823949676
2018-04-05,2223.764644409669,-387.24972398215584,4892.000572144554
2018-04-06,2422.7339840945274,-277.7941920891026,4881.748203982892
2018-04-07,2026.8434327652062,-813.0384247519846,4530.305121575795
2018-04-08,2185.7468051916026,-549.6220335531032,4575.0900028083615
2018-04-09,2386.3680069873312,-378.05236006175335,5061.366829967734
2018-04-10,1806.298784507175,-963.4193683440698,4377.8435524615925
2018-04-11,925.1418628655947,-1793.8066294307785,3579.4761366354314
2018-04-12,2119.6033254502277,-617.3469494079586,4705.245716878453
2018-04-13,2347.8235034485615,-380.70361536173885,5009.499994944268
2018-04-14,1977.6805002122865,-917.1163953116612,4859.791741475782
2018-04-15,2158.380948152877,-377.17205508801516,4822.609795648609
2018-04-16,2376.5446852881523,-449.6898753853889,5210.093350664886
2018-04-17,1809.6049717443993,-847.1037185852853,4735.327364113832
2018-04-18,937.1500791675894,-1898.8176952830572,3579.7188392919606
2018-04-19,2136.01025320699,-495.5636520862807,4819.6013252479925
2018-04-20,2364.5795644194322,-484.99700480775937,5024.613767886779
2018-04-21,1991.1071104082005,-607.6419917390951,4557.775130110847
2018-04-22,2165.272585373341,-541.3951402000846,4953.00880934233
2018-04-23,2374.2533901344336,-384.0241083449739,5148.971726979165
2018-04-24,1796.1054421769109,-966.3642633083454,4661.345051715108
2018-04-25,911.0840952004855,-1752.8875039785455,3552.1923650282056
2018-04-26,2096.709766323696,-567.889921072675,4589.579105073899
2018-04-27,2312.068388631205,-612.4599959720847,4929.507542703972
2018-04-28,1926.0817425861098,-591.2177336477702,4701.676910497572
2018-04-29,2089.063245465617,-569.6883043372443,4842.337504294841
2018-04-30,2288.7668925468224,-554.336948991653,5074.382028640119
2018-05-01,1703.751974550564,-975.8925977693522,4312.083519733332
2018-05-02,814.6903785844372,-1932.295184801463,3537.5252336822273
2018-05-03,1999.4213917822642,-562.3127364367591,4878.185543494824
2018-05-04,2217.2443624106663,-539.3997604178592,4836.379487875899
2018-05-05,1837.1844204063896,-853.4893009830605,4569.814889142198
2018-05-06,2009.5468939345367,-864.7839310216763,4819.681927580611
2018-05-07,2221.968082523194,-359.7765981250582,5005.136532412949
2018-05-08,1652.7848901867972,-935.9057326235322,4366.476134536667
2018-05-09,782.3499220529013,-1992.107497559227,3609.2090393428903
2018-05-10,1988.0966844415682,-594.4870934618345,4740.611283374296
2018-05-11,2228.8448979725417,-435.9120131631464,4802.410160077252
2018-05-12,1873.080725151584,-882.1970135384306,4522.695885983354
2018-05-13,2070.5271056492243,-532.5666816852615,4919.860330566313
2018-05-14,2308.2113866651216,-325.39495556198136,5059.09680698141
2018-05-15,1763.8522626620274,-1085.7191547523498,4685.3060630646905
2018-05-16,917.1921367321668,-1773.0012869081374,3778.2776662246665
2018-05-17,2145.079064037429,-558.4413901557458,4792.25034495386
2018-05-18,2405.7878320749533,-263.70336248812947,5206.863544650156
2018-05-19,2067.31456133747,-606.9796601373644,4433.843232683114
2018-05-20,2278.9596495525675,-211.54941883543526,4991.221780097665
2018-05-21,2527.405933950813,-210.86041307919993,5241.434387386385
2018-05-22,1990.113837588172,-780.3138797931085,4564.253947567445
2018-05-23,1146.6594339956664,-1573.0286560529617,3917.750616605867
2018-05-24,2373.8194863237018,-305.12060406058754,5187.3914764477595
2018-05-25,2629.892986470857,-193.0197571196495,5319.12472311175
2018-05-26,2282.9936228510996,-576.5900956829068,5262.577238096262
2018-05-27,2482.6281163670583,-86.37061418198024,5347.770693579375
2018-05-28,2715.7674819494887,200.2302427553636,5313.25198195784
2018-05-29,2160.233224607725,-535.7546613956372,5117.489751393805
2018-05-30,1296.024698770416,-1505.616679914976,3982.814484583384
2018-05-31,2500.3920239530107,-175.82088747754761,5223.032517638476
2018-06-01,2732.1444508688105,-97.39853680355336,5478.001702862282
2018-06-02,2359.9289958784743,-20.83589155036141,5098.151261857819
2018-06-03,2533.7946816870226,-134.11397694103385,5414.5500461887505
2018-06-04,2741.249837691477,82.89869402837236,5294.544316555638
2018-06-05,2160.634851198151,-427.86821831491625,4822.111546557196
2018-06-06,1272.436956608361,-1591.0265214863537,3970.5992042176085
2018-06-07,2454.3517799083347,-325.83090306527845,5054.235754472455
2018-06-08,2665.58181478247,-167.74158838534098,5428.2917163773955
2018-06-09,2275.1068808979553,-585.9295954712045,5086.656817880976
2018-06-10,2433.2420803751347,-258.3079555282735,5120.895298246525
2018-06-11,2627.69082504308,-15.75407220565219,5566.704629156998
2018-06-12,2036.9153845044889,-747.422959169815,4657.146479672595
2018-06-13,1141.4515400342143,-1572.0911987392738,3722.7177563353384
2018-06-14,2318.9720002956456,-416.83568010542376,5128.4659686694495
2018-06-15,2528.5886379475796,-341.43956694531755,5341.788695224651
2018-06-16,2139.1284292429173,-556.0944244101744,4816.839383361176
2018-06-17,2300.6983992138994,-195.91045201316606,4782.379168092289
2018-06-18,2500.7468940996987,-312.8645640527149,5219.9068815484525
2018-06-19,1917.4433508754823,-997.2338809332127,4560.540426753087
2018-06-20,1031.0028483365807,-1912.5424717018755,3753.833894389444
2018-06-21,2218.7597845169116,-497.3437683197757,4771.734683555539
2018-06-22,2439.480426686681,-12.504390001344422,5241.7496478606145
2018-06-23,2061.648911343872,-684.4907693413849,4605.122410029874
2018-06-24,2235.0417087808923,-383.4782788657291,5148.767384841218
2018-06-25,2446.797610975196,-185.4586260885098,5088.62012522413
2018-06-26,1874.80518189987,-1040.0887265782092,4512.858001526833
2018-06-27,999.0337623791561,-1544.0437354841154,3680.4266991232353
2018-06-28,2196.6122250339035,-664.2300922465924,5078.1387657191535
